Series	GDP	IP	Employment	Unemployment	Housing	Inventories	Prices	Wages	InterestRates	Money	ExchangeRate	StockPrice	ConsumerExpectations
LHU15	0	0	0	1	0	0	0	0	0	0	0	0	0
LHU26	0	0	0	1	0	0	0	0	0	0	0	0	0
LHU27	0	0	0	1	0	0	0	0	0	0	0	0	0
CES151	0	0	1	0	0	0	0	0	0	0	0	0	0
CES155	0	0	1	0	0	0	0	0	0	0	0	0	0
HSBR	0	0	0	0	1	0	0	0	0	0	0	0	0
HSNE	0	0	0	0	1	0	0	0	0	0	0	0	0
HSMW	0	0	0	0	1	0	0	0	0	0	0	0	0
HSSOU	0	0	0	0	1	0	0	0	0	0	0	0	0
HSWST	0	0	0	0	1	0	0	0	0	0	0	0	0
FYGM3	0	0	0	0	0	0	0	0	1	0	0	0	0
FYGM6	0	0	0	0	0	0	0	0	1	0	0	0	0
FYGT1	0	0	0	0	0	0	0	0	1	0	0	0	0
FYGT5	0	0	0	0	0	0	0	0	1	0	0	0	0
FYGT10	0	0	0	0	0	0	0	0	1	0	0	0	0
FYAAAC	0	0	0	0	0	0	0	0	1	0	0	0	0
FYBAAC	0	0	0	0	0	0	0	0	1	0	0	0	0
Sfygm6	0	0	0	0	0	0	0	0	1	0	0	0	0
Sfygt1	0	0	0	0	0	0	0	0	1	0	0	0	0
sFYAAAC	0	0	0	0	0	0	0	0	1	0	0	0	0
sFYBAAC	0	0	0	0	0	0	0	0	1	0	0	0	0
MZMSL	0	0	0	0	0	0	0	0	0	1	0	0	0
FMFBA	0	0	0	0	0	0	0	0	0	1	0	0	0
CPILFESL	0	0	0	0	0	0	1	0	0	0	0	0	0
PCEPILFE	0	0	0	0	0	0	1	0	0	0	0	0	0
PWFCSA	0	0	0	0	0	0	1	0	0	0	0	0	0
PWIMSA	0	0	0	0	0	0	1	0	0	0	0	0	0
PWCMSA	0	0	0	0	0	0	1	0	0	0	0	0	0
PWCMSAR	0	0	0	0	0	0	1	0	0	0	0	0	0
PSCCOM	0	0	0	0	0	0	1	0	0	0	0	0	0
PW561	0	0	0	0	0	0	1	0	0	0	0	0	0
PW561R	0	0	0	0	0	0	1	0	0	0	0	0	0
EXRSW	0	0	0	0	0	0	0	0	0	0	1	0	0
EXRJAN	0	0	0	0	0	0	0	0	0	0	1	0	0
EXRUK	0	0	0	0	0	0	0	0	0	0	1	0	0
EXRCAN	0	0	0	0	0	0	0	0	0	0	1	0	0
FSPCOM	0	0	0	0	0	0	0	0	0	0	0	1	0
FSDXP	0	0	0	0	0	0	0	0	0	0	0	1	0
FSPXE	0	0	0	0	0	0	0	0	0	0	0	1	0
FSDJ	0	0	0	0	0	0	0	0	0	0	0	1	0
MOCMQ	0	0	0	0	0	1	0	0	0	0	0	0	0
MSONDQ	0	0	0	0	0	1	0	0	0	0	0	0	0
